Abbreviation	Format	Prefered	Keyword	Type	Comment	Reference	Length	Rank_gross	Rank_detail	Region	Web link	Concatenated	Separable
Litho	MiXeD	0	Lithography			USGS	5	1	2	United States of America			
L	UPPER	-10	Little	Measurement		USGS	1	1	2	United States of America			
LG	UPPER	0	Loading Gauge			Ordnance Survey (UK)	2	10	10	United Kingdom			
LRO	UPPER	0	Local Reference Object			Ordnance Survey (UK)	3	10	10	United Kingdom			
LST	UPPER	0	Local Standard Time	Time		UC Berkeley	3	1	3	United States of America			
LCTY	UPPER	0	Locality	Administration		UC Berkeley	4	1	3	United States of America			
Loc	MiXeD	0	Location			USGS	3	1	2	United States of America			
Loc Approx	MiXeD	0	Location Approximate			USGS	10	1	2	United States of America			
LM	UPPER	0	Location Monument			USGS	2	1	2	United States of America			
L	UPPER	-10	Loch	Hydrology		Ordnance Survey (UK)	1	10	10	United Kingdom			
L	UPPER	-10	Lochan			Ordnance Survey (UK)	1	10	10	United Kingdom			
L	UPPER	-10	Lock	Hydrology		Ordnance Survey (UK)	1	10	10	United Kingdom			
L	UPPER	-10	Lockspit			Ordnance Survey (UK)	1	10	10	United Kingdom			
Loco Shed	MiXeD	0	Locomotive Shed	Point of interest		Ordnance Survey (UK)	9	10	10	United Kingdom			
Lo	MiXeD	0	Lodge	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
Log	MiXeD	0	Logarithm			USGS	3	1	2	United States of America			
LB	UPPER	0	London Borough	Administration		Ordnance Survey (UK)	2	10	10	United Kingdom			
LPTA	UPPER	0	London Passenger Transport Area			Ordnance Survey (UK)	4	10	10	United Kingdom			
LPTB	UPPER	0	London Passenger Transport Board	Organization		Ordnance Survey (UK)	4	10	10	United Kingdom			
LTA	UPPER	0	London Traffic Area			Ordnance Survey (UK)	3	10	10	United Kingdom			
LT	UPPER	0	London Transport	Organization		Ordnance Survey (UK)	2	10	10	United Kingdom			
LDP	UPPER	0	Long Distance Path			Ordnance Survey (UK)	3	10	10	United Kingdom			
Long	MiXeD	0	Longitude	Measurement		UC Berkeley	4	1	3	United States of America			
Lon	MiXeD	0	Longitude	Measurement		UC Berkeley	3	1	3	United States of America			
LO	UPPER	0	Lookout	Point of interest		USGS	2	1	2	United States of America			
LT	UPPER	0	Lookout Tower	Point of interest		USGS	2	1	2	United States of America			
Lp	MiXeD	100	Loop	Transport		Benchmark	2	1	1	United States of America			
L.A.	Exact	0	Los Angeles	City		UC Berkeley	4	1	3	California			
La.	Exact	0	Louisiana	Admin-1		UC Berkeley	3	1	3	United States of America			
LA	UPPER	0	Louisiana	Admin-1		UC Berkeley	2	1	3	United States of America			
LW	UPPER	0	Low Water	Hydrology		USGS	2	1	2	United States of America			
LWL	UPPER	0	Low Water Level	Hydrology		Ordnance Survey (UK)	3	10	10	United Kingdom			
LWM	UPPER	0	Low Water Mark	Hydrology		Ordnance Survey (UK)	3	10	10	United Kingdom			
LWM(S)	UPPER	0	Low Water Mark (Springs)	Hydrology		Ordnance Survey (UK)	6	10	10	United Kingdom			
LWMMT	UPPER	0	Low Water Mark of Medium Tides	Hydrology		Ordnance Survey (UK)	5	10	10	United Kingdom			
LWMOST	UPPER	0	Low Water Mark of Ordinary Spring Tides	Hydrology		Ordnance Survey (UK)	6	10	10	United Kingdom			
LWMOT	UPPER	0	Low Water Mark of Ordinary Tides	Hydrology		Ordnance Survey (UK)	5	10	10	United Kingdom			
Lr	MiXeD	0	Lower			Ordnance Survey (UK)	2	10	10	United Kingdom			
LLW	UPPER	0	Lower Low Water	Hydrology		USGS	3	1	2	United States of America			
M	UPPER	-10	Maestrale		South	UC Berkeley	1	1	3	United States of America			
Mag	MiXeD	0	Magazine	Point of interest		USGS	3	1	2	United States of America			
M	UPPER	-10	Magistrale	Point of interest	South	UC Berkeley	1	1	3	United States of America			
Mag	MiXeD	0	Magnetic			USGS	3	1	2	United States of America			
Mag Var	MiXeD	0	Magnetic Variation			Ordnance Survey (UK)	7	10	10	United Kingdom			
MPU	UPPER	0	Mail Pick-up	Point of interest		Ordnance Survey (UK)	3	10	10	United Kingdom			
Me	MiXeD	0	Maine	Admin-1		UC Berkeley	2	1	3	United States of America			
ME	UPPER	0	Maine	Admin-1		USGS	2	1	2	United States of America			
Mnlnd	MiXeD	0	Mainland	Region		USGS	5	1	2	United States of America			
Maint Sta	MiXeD	0	Maintenance Station	Point of interest		USGS	9	1	2	United States of America			
MH	UPPER	0	Malt House	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
MH	UPPER	0	Man Hole			Ordnance Survey (UK)	2	10	10	United Kingdom			
Mgmt	MiXeD	0	Management			USGS	4	1	2	United States of America			
Mngrv	MiXeD	0	Mangrove	Landcover		USGS	5	1	2	United States of America			
Man	MiXeD	0	Manitoba	Admin-1		Nat'l Geo. N. Amer. Atlas	3	1	1				
Mr	MiXeD	0	Manor	Point of interest		Ordnance Survey (UK)	2	10	10	United Kingdom			
Mfg	MiXeD	0	Manufacturing	Landcover		USGS	3	1	2	United States of America			
Mar	MiXeD	0	March	Dates		USGS	3	1	2	United States of America			
Mar	MiXeD	0	Marine	Hydrology		USGS	3	1	2	United States of America			
CHNM	UPPER	0	Marine channel	Hydrology		UC Berkeley	4	1	3	United States of America			
M.C.A.S.	Exact	0	Marine Corps Air Station	Point of interest		Nat'l Geo. N. Amer. Atlas	8	1	1				
M	UPPER	-10	Mark			Ordnance Survey (UK)	1	10	10	United Kingdom			
Mkt	MiXeD	0	Market	Point of interest		Ordnance Survey (UK)	3	10	10	United Kingdom			
Mkt Ho	MiXeD	0	Market House	Point of interest		Ordnance Survey (UK)	6	10	10	United Kingdom			
M	UPPER	-10	Marsh	Landform		Ordnance Survey (UK)	1	10	10	United Kingdom			
MRSH	UPPER	0	Marsh	Landform		UC Berkeley	4	1	3	United States of America			
Msh	MiXeD	0	Marsh	Landform		USGS	3	1	2	United States of America			
MD	UPPER	0	Maryland	Admin-1		UC Berkeley	2	1	3	United States of America			
Md	MiXeD	50	Maryland	Admin-1		UC Berkeley	2	1	3	United States of America			
M	UPPER	-10	Masonry			Ordnance Survey (UK)	1	10	10	United Kingdom			
Mass	MiXeD	0	Massachusetts	Admin-1		UC Berkeley	4	1	3	United States of America			
MA	UPPER	0	Massachusetts	Admin-1		USGS	2	1	2	United States of America			
MSD	UPPER	0	Master Survey Drawing			Ordnance Survey (UK)	3	10	10	United Kingdom			
MO	UPPER	0	Matter of opinion			Ordnance Survey (UK)	2	10	10	United Kingdom			
Max	MiXeD	0	Maximum			USGS	3	1	2	United States of America			
M	UPPER	-10	Mead			Ordnance Survey (UK)	1	10	10	United Kingdom			
Me	MiXeD	0	Mead			Ordnance Survey (UK)	2	10	10	United Kingdom			
Mdw	MiXeD	0	Meadow	Landcover		USGS	3	1	2	United States of America			
MH & MLW	UPPER	0	Mean High and Mean Low Water	Hydrology		Ordnance Survey (UK)	8	10	10	United Kingdom			
MH & MLWS	UPPER	0	Mean High and Mean Low Water Springs	Hydrology		Ordnance Survey (UK)	9	10	10	United Kingdom			
MHW	UPPER	0	Mean High Water	Hydrology		USGS	3	1	2	United States of America			
MHWS	UPPER	0	Mean High Water Springs	Hydrology		Ordnance Survey (UK)	4	10	10	United Kingdom			
MHHW	UPPER	0	Mean Higher High Water	Hydrology		USGS	4	1	2	United States of America			
MLW	UPPER	0	Mean low water	Hydrology		UC Berkeley	3	1	3	United States of America			
MLW	UPPER	0	Mean Low Water	Hydrology		USGS	3	1	2	United States of America			
MLWS	UPPER	0	Mean Low Water Springs	Hydrology		Ordnance Survey (UK)	4	10	10	United Kingdom			
MLLW	UPPER	0	Mean Lower Low Water	Hydrology		USGS	4	1	2	United States of America			
MSL	UPPER	0	Mean Sea Level	Hydrology		USGS	3	1	2	United States of America			
MTL	UPPER	0	Mean Tide Level	Hydrology		USGS	3	1	2	United States of America			
MC	UPPER	0	Meander Corner	Hydrology		USGS	2	1	2	United States of America			
m	lower	-10	Medium			Ordnance Survey (UK)	1	10	10	United Kingdom			
MT	UPPER	0	Medium Tide	Hydrology		Ordnance Survey (UK)	2	10	10	United Kingdom			
Mts	MiXeD	0	Medium Tides	Hydrology		Ordnance Survey (UK)	3	10	10	United Kingdom			
mehr-gesch	lower	0	mehrgeschossig	German		UC Berkeley	10	1	3	German			
M.H.	Exact	0	Meierhof	Landcover	dairy farm	UC Berkeley	4	1	3	German			
Memo	MiXeD	0	Memorandum			USGS	4	1	2	United States of America			
Meml	MiXeD	0	Memorial			Ordnance Survey (UK)	4	10	10	United Kingdom			
Mem	MiXeD	0	Memorial			USGS	3	1	2	United States of America			
Mtl Hospl	MiXeD	0	Mental Hospital			Ordnance Survey (UK)	9	10	10	United Kingdom			
M	UPPER	-10	Mere			Ordnance Survey (UK)	1	10	10	United Kingdom			
M	UPPER	-10	Meridialis		South	UC Berkeley	1	1	3	United States of America			
Mer	MiXeD	0	Meridian			USGS	3	1	2	United States of America			
M	UPPER	-10	Meridionalis		South	UC Berkeley	1	1	3	United States of America			
met	lower	0	Metalled			Ordnance Survey (UK)	3	10	10	United Kingdom			
Met Sta	MiXeD	0	Meteorological Station			Ordnance Survey (UK)	7	10	10	United Kingdom			
m	lower	-10	Meter	Measurement		UC Berkeley	1	1	3	United States of America			
m	lower	-10	Meters	Measurement		USGS	1	1	2	United States of America			
Meth	MiXeD	0	Methodist	Religion		Ordnance Survey (UK)	4	10	10	United Kingdom			
m	lower	-10	Metres			Ordnance Survey (UK)	1	10	10	United Kingdom			
Met	MiXeD	0	Metropolitan	Region		Ordnance Survey (UK)	3	10	10	United Kingdom			
M	UPPER	-10	Mews	Transport		Ordnance Survey (UK)	1	10	10	United Kingdom			
MS	UPPER	0	Mews	Transport		Ordnance Survey (UK)	2	10	10	United Kingdom			
Mex	MiXeD	0	Mexico	Admin-0		Nat'l Geo. N. Amer. Atlas	3	1	1				
M	UPPER	-10	Mezzodi		South	UC Berkeley	1	1	3	United States of America			
Mich	MiXeD	0	Michigan	Admin-1		UC Berkeley	4	1	3	United States of America			
MI	UPPER	0	Michigan	Admin-1		UC Berkeley	2	1	3	United States of America			
Mid	MiXeD	0	Middle			USGS	3	1	2	United States of America			
mi	lower	0	Mile	Measurement		UC Berkeley	2	1	3	United States of America			
MP	UPPER	0	Mile Post Mooring Post			Ordnance Survey (UK)	2	10	10	United Kingdom			
MS	UPPER	0	Mile Stone			Ordnance Survey (UK)	2	10	10	United Kingdom			
MP	UPPER	0	Milepost			USGS	2	1	2	United States of America			
MI	UPPER	0	Miles	Measurement		UC Berkeley	2	1	3	United States of America			
Mil	MiXeD	0	Military			UC Berkeley	3	1	3	United States of America			
M	UPPER	-10	mille 	Measurement	-1000	UC Berkeley	1	1	3	United States of America			
mB	MiXeD	0	Millibar	Measurement		UC Berkeley	2	1	3	United States of America			
Min	MiXeD	0	Mine			USGS	3	1	2	United States of America			
Min	MiXeD	0	Mineral			USGS	3	1	2	United States of America			
MM	UPPER	0	Mineral Monument			USGS	2	1	2	United States of America			
Min	MiXeD	0	Mines			USGS	3	1	2	United States of America			
Min	MiXeD	0	Minimum			USGS	3	1	2	United States of America			
Min Tech	MiXeD	0	Ministry of Technology			Ordnance Survey (UK)	8	10	10	United Kingdom			
Mpls	MiXeD	0	Minneapolis	City		UC Berkeley	4	1	3	United States of America			
Minn	MiXeD	0	Minnesota	Admin-1		UC Berkeley	4	1	3	United States of America			
MN	UPPER	0	Minnesota	Admin-1		USGS	2	1	2	United States of America			
MC	UPPER	0	Minor Control			Ordnance Survey (UK)	2	10	10	United Kingdom			
MCPA	UPPER	0	Minor Control Point Album			Ordnance Survey (UK)	4	10	10	United Kingdom			
MCTS	UPPER	0	Minor Control Traverse Station			Ordnance Survey (UK)	4	10	10	United Kingdom			
Min	MiXeD	0	Minute	Time		UC Berkeley	3	1	3	United States of America			
Min	MiXeD	0	Minutes	Time		USGS	3	1	2	United States of America			
Misn	MiXeD	0	Mission	Religion		Ordnance Survey (UK)	4	10	10	United Kingdom			
Misn Ch	MiXeD	0	Mission Church	Religion		Ordnance Survey (UK)	7	10	10	United Kingdom			
Miss	MiXeD	0	Mississippi	Admin-1		UC Berkeley	4	1	3	United States of America			
MS	UPPER	0	Mississippi	Admin-1		USGS	2	1	2	United States of America			
Mo	MiXeD	0	Missouri	Admin-1		UC Berkeley	2	1	3	United States of America			
MO	UPPER	0	Missouri	Admin-1		USGS	2	1	2	United States of America			
M	UPPER	-10	Mitte			UC Berkeley	1	1	3	United States of America			
M.W.	Exact	0	Mittelwasser			UC Berkeley	4	1	3	United States of America			
m	lower	-10	mittlere			UC Berkeley	1	1	3	United States of America			
Mix	MiXeD	0	Mixed, Mixture		woods class.	Ordnance Survey (UK)	3	10	10	United Kingdom			
M	UPPER	-10	Moat			Ordnance Survey (UK)	1	10	10	United Kingdom			
Mod	MiXeD	0	Module			Ordnance Survey (UK)	3	10	10	United Kingdom			
Mt	MiXeD	0	Mont	Landform		UC Berkeley	2	1	3	United States of America			
Mont	MiXeD	0	Montana	Admin-1		UC Berkeley	4	1	3	United States of America			
MT	UPPER	0	Montana	Admin-1		UC Berkeley	2	1	3	United States of America			
Mte	MiXeD	0	Monte	Landform		Nat'l Geo. N. Amer. Atlas	3	1	1				
Mtes	MiXeD	0	Montes	Landform		Nat'l Geo. N. Amer. Atlas	4	1	1				
Mon	MiXeD	0	Monument			USGS	3	1	2	United States of America			
M	UPPER	-10	Mooring			Ordnance Survey (UK)	1	10	10	United Kingdom			
Mg P	MiXeD	0	Mooring Post			Ordnance Survey (UK)	4	10	10	United Kingdom			
MR	UPPER	0	Mooring Ring			Ordnance Survey (UK)	2	10	10	United Kingdom			
Mor	MiXeD	0	Moraine			USGS	3	1	2	United States of America			
Mortuary	MiXeD	0	Mort			Ordnance Survey (UK)	8	10	10	United Kingdom			
M	UPPER	-10	Mound	Landform		Ordnance Survey (UK)	1	10	10	United Kingdom			
MD	UPPER	0	Mound	Landform		Ordnance Survey (UK)	2	10	10	United Kingdom			
M	UPPER	-10	Mount	Landform		Ordnance Survey (UK)	1	10	10	United Kingdom			
Mt	MiXeD	0	Mount	Landform		USGS	2	1	2	United States of America			
Mtn	MiXeD	0	Mountain	Landform		UC Berkeley	3	1	3	United States of America			
Mt	MiXeD	0	Mountain	Landform		UC Berkeley	2	1	3	United States of America			
MDT	UPPER	0	Mountain Daylight Time	Time		UC Berkeley	3	1	3	United States of America			
MST	UPPER	0	Mountain Standard Time	Time		UC Berkeley	3	1	3	United States of America			
Mtns	MiXeD	0	Mountains	Landform		USGS	4	1	2	United States of America			
Mts	MiXeD	50	Mountains	Landform		Nat'l Geo. N. Amer. Atlas	3	1	1				
Mts	MiXeD	50	Mounts	Landform		Nat'l Geo. N. Amer. Atlas	3	1	1				
Multi Car Park	MiXeD	0	Multistory Car Park			Ordnance Survey (UK)	14	10	10	United Kingdom			
Mun	MiXeD	100	Muni	Administration		Benchmark	3	1	1	United States of America			
Munl	MiXeD	0	Municipal	Administration		Ordnance Survey (UK)	4	10	10	United Kingdom			
Muni	MiXeD	0	Municipal	Administration		USGS	4	1	2	United States of America			
Mun	MiXeD	100	Municipal	Administration		Benchmark	3	1	1	United States of America			
MB	UPPER	0	Municipl Borough	Administration		Ordnance Survey (UK)	2	10	10	United Kingdom			
Mus	MiXeD	0	Museum	Point of interest		USGS	3	1	2	United States of America			
NRWS	UPPER	0	Narrows	Hydrology		UC Berkeley	4	1	3	United States of America			
Nat'l	MiXeD	0	National	Administration		Washington Post	5	1	7	United States of America			
Nat	MiXeD	50	National	Administration		DeLorme	3	1	5	United States of America			
Natl	MiXeD	100	National	Administration		Benchmark	4	1	1	United States of America			
Nat	MiXeD	100	National	Administration		Benchmark	3	1	1	United States of America			
N.B.	Exact	0	National Battlefield	Point of interest		Nat'l Geo. N. Amer. Atlas	4	1	1				
N.B.P.	Exact	0	National Battlefield Park	Point of interest		Nat'l Geo. N. Amer. Atlas	6	1	1				
N.B.S.	Exact	0	National Battlefield Site	Point of interest		Nat'l Geo. N. Amer. Atlas	6	1	1				
NCR	UPPER	0	National Capital Region	Administration		UC Berkeley	3	1	3	United States of America			
N.C.	Exact	0	National Cemetery	Point of interest		Nat'l Geo. N. Amer. Atlas	4	1	1				
NCB	UPPER	0	National Coal Board	Organization		Ordnance Survey (UK)	3	10	10	United Kingdom			
NFWS	UPPER	0	National Fish and Wildlife Service	Organization		UC Berkeley	4	1	3	United States of America			
Nat For	MiXeD	100	National Forest			Benchmark	7	1	1	United States of America			
NF	UPPER	100	National Forest			Benchmark	2	1	1	United States of America			
NG	UPPER	0	National Grid			Ordnance Survey (UK)	2	10	10	United Kingdom			
NG	UPPER	0	National Guard			USGS	2	1	2	United States of America			
N.H.S.	Exact	0	National Historic Site	Point of interest		Nat'l Geo. N. Amer. Atlas	6	1	1				
N.H.P.	Exact	0	National Historical Park	Point of interest		Nat'l Geo. N. Amer. Atlas	6	1	1				
N.L.	Exact	0	National Lakeshore	Point of interest		Nat'l Geo. N. Amer. Atlas	4	1	1				
N. Mem.	Exact	50	National Memorial	Point of interest		Nat'l Geo. N. Amer. Atlas	7	1	1				
Nat. Mem.	Exact	100	National Memorial	Point of interest		Nat'l Geo. N. Amer. Atlas	9	1	1				
N. Mem. P.	Exact	0	National Memorial Park	Point of interest		Nat'l Geo. N. Amer. Atlas	10	1	1				
N.M.P.	Exact	0	National Military Park	Point of interest		Nat'l Geo. N. Amer. Atlas	6	1	1				
NM	UPPER	50	National Monument			Benchmark	2	1	1	United States of America			
Nat. Mon.	Exact	100	National Monument			Benchmark	9	1	1	United States of America			
N.P.	Exact	0	National Park	Point of interest		Nat'l Geo. N. Amer. Atlas	4	1	1				
NPS	UPPER	0	National Park Service	Organization		UC Berkeley	3	1	3	United States of America			
NRA	UPPER	100	National Recreation Area			Benchmark	3	1	1	United States of America			
N.R.A.	Exact	0	National Recreation Area	Point of interest		Nat'l Geo. N. Amer. Atlas	6	1	1				
NRT	UPPER	100	National Recreation Trail			Benchmark	3	1	1	United States of America			
N.S.R.A.	Exact	0	National Seashore Recreational Area	Point of interest		Nat'l Geo. N. Amer. Atlas	8	1	1				
NT	UPPER	0	National Trust	Organization		Ordnance Survey (UK)	2	10	10	United Kingdom			
NTS	UPPER	0	National Trust for Scotland	Organization		Ordnance Survey (UK)	3	10	10	United Kingdom			
N.V.M.	Exact	0	National Volcanic Monument	Point of interest		Nat'l Geo. N. Amer. Atlas	6	1	1				
NWR	UPPER	50	National Wildlife Refuge			DeLorme	3	1	5	United States of America			
NI	UPPER	0	Natturfraedistofnun Islands	Region		UC Berkeley	2	1	3	United States of America			
NSI	UPPER	0	Natural Scale Indicator			UC Berkeley	3	1	3	United States of America			
Naut	MiXeD	0	Nautical			USGS	4	1	2	United States of America			
N.A.S.	Exact	0	Naval Air Station	Point of interest		Nat'l Geo. N. Amer. Atlas	6	1	1				
N.T.C.	Exact	0	Naval Training Center	Point of interest		Nat'l Geo. N. Amer. Atlas	6	1	1				
N.T.S.	Exact	0	Naval Training Station	Point of interest		Nat'l Geo. N. Amer. Atlas	6	1	1				
Navig	MiXeD	0	Navigable			USGS	5	1	2	United States of America			
Navig	MiXeD	0	Navigation			USGS	5	1	2	United States of America			
Nbf	MiXeD	0	Nebenbahnhof			UC Berkeley	3	1	3	United States of America			
Neb	MiXeD	0	Nebraska	Admin-1		UC Berkeley	3	1	3	United States of America			
NE	UPPER	0	Nebraska	Admin-1		UC Berkeley	2	1	3	United States of America			
Nebr	MiXeD	50	Nebraska	Admin-1		Nat'l Geo. N. Amer. Atlas	4	1	1				
Nk	MiXeD	0	Neck	Landform		USGS	2	1	2	United States of America			
Nev	MiXeD	0	Nevada	Admin-1		UC Berkeley	3	1	3	United States of America			
NV	UPPER	0	Nevada	Admin-1		UC Berkeley	2	1	3	United States of America			
NBM	UPPER	0	New Bench Mark			Ordnance Survey (UK)	3	10	10	United Kingdom			
N.B.	Exact	0	New Brunswick	Admin-1		Nat'l Geo. N. Amer. Atlas	4	1	1				
N.H.	Exact	0	New Hampshire	Admin-1		UC Berkeley	4	1	3	United States of America			
NH	UPPER	0	New Hampshire	Admin-1		UC Berkeley	2	1	3	United States of America			
N.H.	Exact	0	New Haven	City		UC Berkeley	4	1	3	United States of America			
N.J.	Exact	0	New Jersey	Admin-1		UC Berkeley	4	1	3	United States of America			
NJ	UPPER	0	New Jersey	Admin-1		UC Berkeley	2	1	3	United States of America			
NM	UPPER	0	New Mexico	Admin-1		UC Berkeley	2	1	3	United States of America			
N. Mex.	Exact	50	New Mexico	Admin-1		Nat'l Geo. N. Amer. Atlas	7	1	1				
N.O.	Exact	0	New Orleans	City		UC Berkeley	4	1	3	United States of America			
NSW	UPPER	0	New South Wales	Admin-1		UC Berkeley	3	1	3	United States of America			
NY	UPPER	0	New York	Admin-1		USGS	2	1	2	United States of America			
N.Y.	Exact	100	New York	Admin-1		Nat'l Geo. N. Amer. Atlas	4	1	1				
N.Z.	Exact	0	New Zealand	Admin-0		UC Berkeley	4	1	3	United States of America			
NZ	UPPER	0	New Zealand	Admin-0		UC Berkeley	2	1	3	United States of America			
Nfld	MiXeD	0	Newfoundland	Admin-1		UC Berkeley	4	1	3	United States of America			
NF	UPPER	0	Newfoundland	Admin-1		UC Berkeley	2	1	3	United States of America			
Nicar	MiXeD	0	Nicaragua	Admin-0		Nat'l Geo. N. Amer. Atlas	5	1	1				
N.W.	Exact	0	Niedrigwasser			UC Berkeley	4	1	3	United States of America			
ND	UPPER	0	No division			Ordnance Survey (UK)	2	10	10	United Kingdom			
N	UPPER	-10	No name or number			Ordnance Survey (UK)	1	10	10	United Kingdom			
NC	UPPER	0	Non-coniferous	Landcover		Ordnance Survey (UK)	2	10	10	United Kingdom			
Noncon	MiXeD	0	Nonconformist			Ordnance Survey (UK)	6	10	10	United Kingdom			
N	UPPER	-10	Norden	German	North	UC Berkeley	1	1	3	German			
n	lower	-10	nordlich	German	northern	UC Berkeley	1	1	3	German			
NO	UPPER	0	Nordosten	German	northeast	UC Berkeley	2	1	3	German			
no	lower	0	nordostwarts	German		UC Berkeley	2	1	3	German			
NW	UPPER	0	Nordwesten	German	Northwest	UC Berkeley	2	1	3	German			
nw	lower	0	nordwestlich			UC Berkeley	2	1	3	United States of America			
NTL	UPPER	0	Normal Tidal Limit	Hydrology		Ordnance Survey (UK)	3	10	10	United Kingdom			
